,Date,Open,High,Low,Close,Adj Close,Volume
249,1996-12-13,6.254444,6.254444,6.138888,6.208888,4.074035,274554000.0
250,1996-12-16,6.193333,6.333333,6.181111,6.313333,4.142567,219213000.0
251,1996-12-17,6.321111,6.443333,6.1,6.285555,4.124339,228690000.0
252,1996-12-18,6.177777,6.39,6.177777,6.325555,4.150586,238410000.0
253,1996-12-19,6.314444,6.361111,6.262222,6.336666,4.157877,120307500.0
254,1996-12-20,6.375555,6.613333,6.365555,6.577777,4.316084,323748000.0
255,1996-12-23,6.622222,6.766666,6.585555,6.737777,4.421071,314752500.0
256,1996-12-24,6.761111,7.2,6.712222,6.893333,4.523141,346612500.0
257,1996-12-25,6.893333,6.893333,6.893333,6.893333,4.523141,0.0
258,1996-12-26,6.955555,7.376666,6.954444,7.373333,4.838097,266548500.0
259,1996-12-27,7.373333,7.373333,7.373333,7.373333,4.838097,0.0
260,1996-12-30,7.373333,7.373333,7.373333,7.373333,4.838097,0.0
261,1996-12-31,7.577777,7.662222,7.288888,7.402222,4.857053,420943500.0
262,1997-01-01,7.488888,7.722222,7.488888,7.654444,5.022552,199728000.0
263,1997-01-02,7.677777,7.7,7.502222,7.538888,4.946729,228190500.0
264,1997-01-03,7.511111,7.554444,7.415555,7.514444,4.930689,189981000.0
265,1997-01-06,7.466666,7.511111,7.186666,7.235555,4.747693,230337000.0
266,1997-01-07,7.2,7.274444,6.977777,7.127777,4.676973,270684000.0
267,1997-01-08,7.288888,7.436666,7.134444,7.182222,4.712698,251383500.0
268,1997-01-09,7.155555,7.308888,7.134444,7.258888,4.763003,252481500.0
269,1997-01-10,7.378888,7.754444,7.362222,7.685555,5.042966,623070000.0
270,1997-01-13,7.744444,8.083333,7.633333,7.986666,5.240543,517153500.0
271,1997-01-14,8.111111,8.546666,8.111111,8.51,5.583934,658503000.0
272,1997-01-15,8.644444,9.106666,8.644444,9.106666,5.975444,310860000.0
273,1997-01-16,9.355555,9.744444,8.47,8.688888,5.701314,582808500.0
274,1997-01-17,8.333333,8.976666,8.222222,8.781111,5.761827,653031000.0
275,1997-01-20,8.977777,9.126666,8.716666,8.805555,5.777868,618597000.0
276,1997-01-21,8.733333,9.016666,8.491111,8.655555,5.679443,526873500.0
277,1997-01-22,8.955555,9.173333,8.888888,8.994444,5.901808,430974000.0
278,1997-01-23,8.994444,8.994444,8.994444,8.994444,5.901808,0.0
279,1997-01-24,8.931111,8.997777,8.577777,8.682222,5.696942,462991500.0
280,1997-01-27,8.688888,9.0,8.606666,8.835555,5.797552,498951000.0
281,1997-01-28,8.954444,8.988888,8.733333,8.867777,5.818695,354667500.0
282,1997-01-29,9.333333,9.488888,8.99,9.16,6.01044,472545000.0
283,1997-01-30,9.077777,9.133333,8.823333,8.954444,5.875562,349051500.0
284,1997-01-31,8.8,8.844444,8.557777,8.624444,5.659029,362205000.0
285,1997-02-03,8.422222,8.573333,8.288888,8.342222,5.473847,306904500.0
286,1997-02-04,8.354444,8.593333,8.333333,8.514444,5.586851,281259000.0
287,1997-02-05,8.698888,8.776666,8.457777,8.502222,5.578832,246564000.0
288,1997-02-06,8.477777,8.587777,8.3,8.496666,5.575185,363424500.0
289,1997-02-07,8.511111,8.91,8.411111,8.852222,5.808488,445225500.0
290,1997-02-10,8.953333,9.087777,8.724444,8.923333,5.855147,554422500.0
291,1997-02-11,8.882222,9.11,8.834444,9.032222,5.926598,355293000.0
292,1997-02-12,9.0,9.477777,8.977777,9.355555,6.138756,660496500.0
293,1997-02-13,9.277777,9.422222,9.267777,9.36,6.141672,365836500.0
294,1997-02-14,9.356666,9.442222,9.332222,9.38,6.154796,294583500.0
295,1997-02-17,9.555555,9.598888,9.306666,9.386666,6.15917,398740500.0
296,1997-02-18,9.411111,9.411111,9.044444,9.1,5.971072,518652000.0
297,1997-02-19,9.177777,9.33,9.097777,9.307777,6.107406,465813000.0
298,1997-02-20,9.244444,9.322222,9.184444,9.252222,6.070952,275224500.0
299,1997-02-21,9.2,9.233333,9.09,9.138888,5.996586,269014500.0
300,1997-02-24,9.088888,9.108888,8.694444,8.773333,5.756723,436711500.0
301,1997-02-25,8.748888,8.9,8.488888,8.623333,5.658299,397480500.0
302,1997-02-26,8.577777,8.662222,8.385555,8.598888,5.642259,438646500.0
303,1997-02-27,8.688888,8.8,8.578888,8.768888,5.753807,331038000.0
304,1997-02-28,9.511111,9.671111,9.248888,9.472222,6.215308,144148500.0
305,1997-03-03,9.824444,9.933333,9.605555,9.647777,6.330499,337882500.0
306,1997-03-04,9.647777,10.215555,9.557777,10.07,6.607545,569682000.0
307,1997-03-05,10.4,10.511111,9.923333,10.108888,6.633064,517167000.0
308,1997-03-06,9.977777,10.087777,9.891111,10.003333,6.563802,329967000.0
309,1997-03-07,10.003333,10.003333,10.003333,10.003333,6.563802,0.0
310,1997-03-10,9.831111,9.866666,9.511111,9.563333,6.275092,357646500.0
311,1997-03-11,9.488888,9.746666,9.155555,9.33,6.121987,440041500.0
312,1997-03-12,9.601111,9.773333,9.502222,9.67,6.345081,451084500.0
313,1997-03-13,9.723333,9.723333,9.413333,9.445555,6.197809,306225000.0
314,1997-03-14,9.377777,9.666666,9.322222,9.594444,6.295507,424129500.0
315,1997-03-17,9.6,9.643333,9.49,9.528888,6.252489,276655500.0
316,1997-03-18,9.5,9.614444,9.294444,9.376666,6.152606,310761000.0
317,1997-03-19,9.555555,9.577777,9.066666,9.148888,6.003149,285975000.0
318,1997-03-20,9.094444,9.282222,9.008888,9.173333,6.019187,412114500.0
